timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
3818302,0.000321627,-0.00841388,0.0151104,3968,0,-0.227086,0.384682,-10.0117,3968
3822302,-0.000764576,-0.00717917,0.0145217,4000,0,-0.247856,0.351487,-9.99042,4000
3826345,-0.00265904,-0.00262341,0.0151462,4043,0,-0.233743,0.365609,-10.0284,4043
3830301,-0.00151676,-0.00413674,0.0146356,3956,0,-0.207477,0.383105,-10.0143,3956
3834303,-0.00214749,-0.00652936,0.0141282,4002,0,-0.258686,0.354615,-9.994,4002
3838302,-0.000337324,-0.00300128,0.0160759,3999,0,-0.221503,0.374144,-10.0165,3999
3842302,-0.00151361,-0.00714518,0.0133466,4000,0,-0.209693,0.373443,-10.0247,4000
3846317,-0.00173625,-0.00742727,0.0124018,4015,0,-0.220246,0.363217,-10.0428,4015
3858302,-0.0023792,-0.00598426,0.0131898,3972,0,-0.212524,0.385276,-10.0101,3972
3862302,-0.002791,-0.00695905,0.014218,4000,0,-0.214737,0.398756,-9.98631,4000
3866336,-1.13977e-05,-0.00495749,0.0145034,4034,0,-0.213323,0.400455,-10.0068,4034
3870302,-0.00236472,-0.00715196,0.0159074,3966,0,-0.195642,0.38009,-10.0098,3966
3874308,-0.00160191,-0.00732288,0.0153805,4006,0,-0.191026,0.405191,-10.0269,4006
3878302,-0.000447294,-0.00589813,0.0141259,3994,0,-0.184655,0.411234,-10.0102,3994
3882302,-0.00141705,-0.00827781,0.0124537,4000,0,-0.199568,0.415608,-10.0134,4000
3886309,-0.000984211,-0.0060511,0.0127559,4007,0,-0.207101,0.406814,-9.99598,4007
3890302,-0.00267602,-0.00707967,0.0143173,3993,0,-0.204231,0.407089,-9.99229,3993
3894312,-0.00128789,-0.0071663,0.0140923,4010,0,-0.204933,0.395124,-10.0257,4010
3898334,-0.00217288,-0.00655563,0.0120942,4022,0,-0.203855,0.393142,-10.0148,4022
3902308,-0.00345275,-0.00607633,0.0133304,3974,0,-0.214992,0.413416,-10.0232,3974
3906302,-0.00245867,-0.00487843,0.0152615,3994,0,-0.208409,0.424501,-10.0543,3994
3910304,-0.00170922,-0.00675986,0.0144345,4002,0,-0.211605,0.411772,-10.0223,4002
3914308,-0.000231234,-0.00748657,0.0139699,4004,0,-0.217792,0.422239,-10.0217,4004
3918361,-0.00268497,-0.00771487,0.0147109,4053,0,-0.225777,0.409241,-10.0006,4053
3922302,-0.00151341,-0.00623456,0.0119884,3941,0,-0.223073,0.401031,-10.0193,3941
3926302,-0.00077751,-0.00608144,0.0132933,4000,0,-0.216326,0.399244,-10.0226,4000
3930304,0.000187946,-0.00646287,0.0148572,4002,0,-0.224002,0.39842,-10.025,4002
3934346,0.000421733,-0.00692078,0.0158098,4042,0,-0.228723,0.393108,-10.0121,4042
3938302,-0.000973593,-0.00667339,0.01548,3956,0,-0.225801,0.390798,-9.99416,3956
3942302,-0.00151047,-0.0044818,0.0134522,4000,0,-0.239761,0.378708,-10.0138,4000
3946302,-0.00300981,-0.00427997,0.0136977,4000,0,-0.234991,0.364749,-10.0225,4000
3950302,-0.00236756,-0.00757131,0.0133442,4000,0,-0.239796,0.367477,-10.019,4000
3954352,-0.00351263,-0.00685437,0.0143302,4050,0,-0.244564,0.392374,-10.0293,4050
3958302,-0.00204304,-0.0070658,0.0137892,3950,0,-0.22381,0.374053,-9.99793,3950
3962302,-0.00301035,-0.00748886,0.014089,4000,0,-0.230732,0.369757,-10.0147,4000
3966302,-0.00214462,-0.00771074,0.0140828,4000,0,-0.243627,0.391842,-10.0165,4000
