timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,vision_attitude_timestamp_rel,vision_position_timestamp_rel
3570318,32767,32767,32767,32767,-69,32767,32767,32767
3574294,32767,32767,32767,32767,32767,-72,32767,32767
3578300,32767,32767,32767,32767,32767,32767,32767,32767
3582305,32767,32767,32767,32767,32767,-41,32767,32767
3586294,32767,32767,32767,32767,32767,32767,32767,32767
3590294,32767,32767,32767,32767,-47,32767,32767,32767
3594294,32767,32767,32767,32767,32767,-72,32767,32767
3598303,32767,32767,32767,32767,32767,32767,32767,32767
3602294,32767,32767,32767,32767,-61,-40,32767,32767
3606294,32767,32767,32767,32767,32767,32767,32767,32767
3610300,32767,32767,32767,32767,32767,32767,32767,32767
3614294,32767,32767,32767,32767,-73,-72,32767,32767
3618300,32767,32767,32767,32767,32767,32767,32767,32767
3622293,32767,32767,32767,32767,32767,-40,32767,32767
3626294,32767,32767,32767,32767,32767,32767,32767,32767
3630301,32767,32767,32767,32767,32767,32767,32767,32767
3634294,32767,32767,32767,32767,-67,-72,32767,32767
3638303,32767,32767,32767,32767,32767,32767,32767,32767
3642294,32767,32767,32767,32767,32767,-40,32767,32767
3646320,32767,32767,32767,32767,-74,32767,32767,32767
3650307,32767,32767,32767,32767,32767,32767,32767,32767
3654294,32767,32767,32767,32767,-47,-72,32767,32767
3658344,32767,32767,32767,32767,32767,32767,32767,32767
3662294,32767,32767,32767,32767,32767,-64,32767,32767
3666349,32767,32767,32767,32767,32767,32767,32767,32767
3670303,32767,32767,32767,32767,32767,-40,32767,32767
3674294,32767,32767,32767,32767,32767,32767,32767,32767
3678345,32767,32767,32767,32767,-69,32767,32767,32767
3682295,32767,32767,32767,32767,32767,-64,32767,32767
3686313,32767,32767,32767,32767,-48,32767,32767,32767
3690294,32767,32767,32767,32767,32767,-39,32767,32767
3694294,32767,32767,32767,32767,32767,32767,32767,32767
3698343,32767,32767,32767,32767,-69,32767,32767,32767
3702295,32767,32767,32767,32767,32767,-64,32767,32767
3706303,32767,32767,32767,32767,32767,32767,32767,32767
3710294,32767,32767,32767,32767,32767,-40,32767,32767
3714294,32767,32767,32767,32767,32767,32767,32767,32767
3718325,32767,32767,32767,32767,-48,32767,32767,32767
3722302,32767,32767,32767,32767,32767,-65,32767,32767
3726308,32767,32767,32767,32767,32767,32767,32767,32767
3730334,32767,32767,32767,32767,-69,-41,32767,32767
3734302,32767,32767,32767,32767,32767,32767,32767,32767
3738316,32767,32767,32767,32767,32767,32767,32767,32767
3742302,32767,32767,32767,32767,-74,-65,32767,32767
3746309,32767,32767,32767,32767,32767,32767,32767,32767
3750351,32767,32767,32767,32767,32767,-40,32767,32767
3754313,32767,32767,32767,32767,32767,32767,32767,32767
3758308,32767,32767,32767,32767,32767,32767,32767,32767
3762302,32767,32767,32767,32767,-61,-57,32767,32767
3766308,32767,32767,32767,32767,32767,32767,32767,32767
3770302,32767,32767,32767,32767,32767,-40,32767,32767
3774302,32767,32767,32767,32767,-74,32767,32767,32767
3778301,32767,32767,32767,32767,32767,32767,32767,32767
3782304,32767,32767,32767,32767,-47,-73,32767,32767
3786358,32767,32767,32767,32767,32767,32767,32767,32767
3790311,32767,32767,32767,32767,32767,-40,32767,32767
3794301,32767,32767,32767,32767,32767,32767,32767,32767
3798302,32767,32767,32767,32767,32767,32767,32767,32767
3802302,32767,32767,32767,32767,32767,-73,32767,32767
3806358,32767,32767,32767,32767,-68,32767,32767,32767
3810302,32767,32767,32767,32767,32767,-40,32767,32767
3814334,32767,32767,32767,32767,-48,32767,32767,32767
3818302,32767,32767,32767,32767,32767,32767,32767,32767
3822302,32767,32767,32767,32767,32767,-73,32767,32767
3826345,32767,32767,32767,32767,-68,32767,32767,32767
3830301,32767,32767,32767,32767,32767,-40,32767,32767
3834303,32767,32767,32767,32767,32767,32767,32767,32767
3838302,32767,32767,32767,32767,32767,32767,32767,32767
3842302,32767,32767,32767,32767,32767,-73,32767,32767
3846317,32767,32767,32767,32767,-48,32767,32767,32767
3858302,32767,32767,32767,32767,-61,32767,32767,32767
3862302,32767,32767,32767,32767,32767,-73,32767,32767
3866336,32767,32767,32767,32767,32767,32767,32767,32767
3870302,32767,32767,32767,32767,-74,-65,32767,32767
3874308,32767,32767,32767,32767,32767,32767,32767,32767
3878302,32767,32767,32767,32767,32767,-41,32767,32767
3882302,32767,32767,32767,32767,32767,32767,32767,32767
3886309,32767,32767,32767,32767,32767,32767,32767,32767
3890302,32767,32767,32767,32767,-58,-65,32767,32767
3894312,32767,32767,32767,32767,32767,32767,32767,32767
3898334,32767,32767,32767,32767,32767,-40,32767,32767
3902308,32767,32767,32767,32767,-69,32767,32767,32767
3906302,32767,32767,32767,32767,32767,32767,32767,32767
3910304,32767,32767,32767,32767,-47,-64,32767,32767
3914308,32767,32767,32767,32767,32767,32767,32767,32767
3918361,32767,32767,32767,32767,32767,-40,32767,32767
3922302,32767,32767,32767,32767,32767,32767,32767,32767
3926302,32767,32767,32767,32767,32767,32767,32767,32767
3930304,32767,32767,32767,32767,32767,-65,32767,32767
3934346,32767,32767,32767,32767,-70,32767,32767,32767
3938302,32767,32767,32767,32767,32767,-40,32767,32767
3942302,32767,32767,32767,32767,-48,32767,32767,32767
3946302,32767,32767,32767,32767,32767,32767,32767,32767
3950302,32767,32767,32767,32767,32767,-65,32767,32767
3954352,32767,32767,32767,32767,-66,32767,32767,32767
3958302,32767,32767,32767,32767,32767,-40,32767,32767
3962302,32767,32767,32767,32767,32767,32767,32767,32767
3966302,32767,32767,32767,32767,32767,32767,32767,32767
3970302,32767,32767,32767,32767,32767,-65,32767,32767
3974353,32767,32767,32767,32767,-48,32767,32767,32767
3978302,32767,32767,32767,32767,32767,-40,32767,32767
3982334,32767,32767,32767,32767,32767,32767,32767,32767
3986302,32767,32767,32767,32767,-66,32767,32767,32767
3990302,32767,32767,32767,32767,32767,-65,32767,32767
3994334,32767,32767,32767,32767,32767,32767,32767,32767
3998302,32767,32767,32767,32767,-74,-40,32767,32767
4002334,32767,32767,32767,32767,32767,32767,32767,32767
4006301,32767,32767,32767,32767,32767,32767,32767,32767
4010302,32767,32767,32767,32767,32767,-73,32767,32767
4014308,32767,32767,32767,32767,32767,32767,32767,32767
4018302,32767,32767,32767,32767,-59,-40,32767,32767
4022302,32767,32767,32767,32767,32767,32767,32767,32767
4026302,32767,32767,32767,32767,32767,32767,32767,32767
4030302,32767,32767,32767,32767,-75,-73,32767,32767
4034308,32767,32767,32767,32767,32767,32767,32767,32767
4038302,32767,32767,32767,32767,-48,-40,32767,32767
4042329,32767,32767,32767,32767,32767,32767,32767,32767
4046302,32767,32767,32767,32767,32767,32767,32767,32767
4050302,32767,32767,32767,32767,32767,-73,32767,32767
4054308,32767,32767,32767,32767,32767,32767,32767,32767
4058301,32767,32767,32767,32767,32767,-40,32767,32767
4063101,32767,32767,32767,32767,-77,32767,32767,32767
4067094,32767,32767,32767,32767,32767,-40,32767,32767
4071095,32767,32767,32767,32767,-46,32767,32767,32767
4075886,32767,32767,32767,32767,32767,32767,32767,32767
4079871,32767,32767,32767,32767,32767,-72,32767,32767
4083871,32767,32767,32767,32767,-63,32767,32767,32767
4087871,32767,32767,32767,32767,32767,-55,32767,32767
4091877,32767,32767,32767,32767,32767,32767,32767,32767
4095871,32767,32767,32767,32767,32767,-40,32767,32767
4099891,32767,32767,32767,32767,32767,32767,32767,32767
4103871,32767,32767,32767,32767,-44,32767,32767,32767
4107871,32767,32767,32767,32767,32767,-55,32767,32767
4111877,32767,32767,32767,32767,32767,32767,32767,32767
4115880,32767,32767,32767,32767,-63,-40,32767,32767
4119892,32767,32767,32767,32767,32767,32767,32767,32767
4123871,32767,32767,32767,32767,32767,32767,32767,32767
4127871,32767,32767,32767,32767,-73,-55,32767,32767
4131877,32767,32767,32767,32767,32767,32767,32767,32767
