timestamp,voltage5V_v,voltage3V3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5V_OC,hipower_5V_OC
137702627,5.25132,0.0,0,0,1,0,0,0,0
138202627,5.23843,0.0,0,0,1,0,0,0,0
138702627,5.25132,0.0,0,0,1,0,0,0,0
139202627,5.2481,0.0,0,0,1,0,0,0,0
139712671,5.23682,0.0,0,0,1,0,0,0,0
140212666,5.25293,0.0,0,0,1,0,0,0,0
140712681,5.26099,0.0,0,0,1,0,0,0,0
141212627,5.25938,0.0,0,0,1,0,0,0,0
141712627,5.28677,0.0,0,0,1,0,0,0,0
142212661,5.28838,0.0,0,0,1,0,0,0,0
142722627,5.21426,0.0,0,0,1,0,0,0,0
143222666,5.25293,0.0,0,0,1,0,0,0,0
143722627,5.2481,0.0,0,0,1,0,0,0,0
144222627,5.24971,0.0,0,0,1,0,0,0,0
144722627,5.21748,0.0,0,0,1,0,0,0,0
145222627,5.24971,0.0,0,0,1,0,0,0,0
145732652,5.25132,0.0,0,0,1,0,0,0,0
146232667,5.25132,0.0,0,0,1,0,0,0,0
146732627,5.2481,0.0,0,0,1,0,0,0,0
147232627,5.29482,0.0,0,0,1,0,0,0,0
147742627,5.25615,0.0,0,0,1,0,0,0,0
148242627,5.29321,0.0,0,0,1,0,0,0,0
148742661,5.25454,0.0,0,0,1,0,0,0,0
149242642,5.24165,0.0,0,0,1,0,0,0,0
149742627,5.26099,0.0,0,0,1,0,0,0,0
150242627,5.2481,0.0,0,0,1,0,0,0,0
150742658,5.22715,0.0,0,0,1,0,0,0,0
151242660,5.22715,0.0,0,0,1,0,0,0,0
151742627,5.2481,0.0,0,0,1,0,0,0,0
152252667,5.21426,0.0,0,0,1,0,0,0,0
152752627,5.28516,0.0,0,0,1,0,0,0,0
153252627,5.29966,0.0,0,0,1,0,0,0,0
153752627,5.25132,0.0,0,0,1,0,0,0,0
154252630,5.23359,0.0,0,0,1,0,0,0,0
154752627,5.29966,0.0,0,0,1,0,0,0,0
155252662,5.25293,0.0,0,0,1,0,0,0,0
155752709,5.21909,0.0,0,0,1,0,0,0,0
156252627,5.25132,0.0,0,0,1,0,0,0,0
156752634,5.25132,0.0,0,0,1,0,0,0,0
157262627,5.21748,0.0,0,0,1,0,0,0,0
157762627,5.24971,0.0,0,0,1,0,0,0,0
158262627,5.24971,0.0,0,0,1,0,0,0,0
158762641,5.28516,0.0,0,0,1,0,0,0,0
159262642,5.23843,0.0,0,0,1,0,0,0,0
159762627,5.28838,0.0,0,0,1,0,0,0,0
160262627,5.24487,0.0,0,0,1,0,0,0,0
160762627,5.23843,0.0,0,0,1,0,0,0,0
161262627,5.25293,0.0,0,0,1,0,0,0,0
161772661,5.22393,0.0,0,0,1,0,0,0,0
162272627,5.21748,0.0,0,0,1,0,0,0,0
162772627,5.25132,0.0,0,0,1,0,0,0,0
163272627,5.25454,0.0,0,0,1,0,0,0,0
163772627,5.21587,0.0,0,0,1,0,0,0,0
164272649,5.25132,0.0,0,0,1,0,0,0,0
164782668,5.29644,0.0,0,0,1,0,0,0,0
165282626,5.2481,0.0,0,0,1,0,0,0,0
165782627,5.28355,0.0,0,0,1,0,0,0,0
166282627,5.24971,0.0,0,0,1,0,0,0,0
166782664,5.23682,0.0,0,0,1,0,0,0,0
167282627,5.27549,0.0,0,0,1,0,0,0,0
167792668,5.25454,0.0,0,0,1,0,0,0,0
168292630,5.22231,0.0,0,0,1,0,0,0,0
168792632,5.24326,0.0,0,0,1,0,0,0,0
169292655,5.23843,0.0,0,0,1,0,0,0,0
169792627,5.23037,0.0,0,0,1,0,0,0,0
170292627,5.2481,0.0,0,0,1,0,0,0,0
170792676,5.29966,0.0,0,0,1,0,0,0,0
171302627,5.27388,0.0,0,0,1,0,0,0,0
171802627,5.27388,0.0,0,0,1,0,0,0,0
172302627,5.24971,0.0,0,0,1,0,0,0,0
172802627,5.25132,0.0,0,0,1,0,0,0,0
173302627,5.25132,0.0,0,0,1,0,0,0,0
173802627,5.25454,0.0,0,0,1,0,0,0,0
174302675,5.25132,0.0,0,0,1,0,0,0,0
174812627,5.2207,0.0,0,0,1,0,0,0,0
175312628,5.2481,0.0,0,0,1,0,0,0,0
175812664,5.24326,0.0,0,0,1,0,0,0,0
176312630,5.21748,0.0,0,0,1,0,0,0,0
176812627,5.28193,0.0,0,0,1,0,0,0,0
177312667,5.2916,0.0,0,0,1,0,0,0,0
177812644,5.2207,0.0,0,0,1,0,0,0,0
178312627,5.23198,0.0,0,0,1,0,0,0,0
178812627,5.24971,0.0,0,0,1,0,0,0,0
179312630,5.24004,0.0,0,0,1,0,0,0,0
179822651,5.2207,0.0,0,0,1,0,0,0,0
180322667,5.25132,0.0,0,0,1,0,0,0,0
180822627,5.2481,0.0,0,0,1,0,0,0,0
181322627,5.23037,0.0,0,0,1,0,0,0,0
181822627,5.25132,0.0,0,0,1,0,0,0,0
182322660,5.27871,0.0,0,0,1,0,0,0,0
182822627,5.2481,0.0,0,0,1,0,0,0,0
183332661,5.29321,0.0,0,0,1,0,0,0,0
183832627,5.29321,0.0,0,0,1,0,0,0,0
184332629,5.22876,0.0,0,0,1,0,0,0,0
184832632,5.28193,0.0,0,0,1,0,0,0,0
185332627,5.23843,0.0,0,0,1,0,0,0,0
185832627,5.21909,0.0,0,0,1,0,0,0,0
186342661,5.24487,0.0,0,0,1,0,0,0,0
186842627,5.25454,0.0,0,0,1,0,0,0,0
187342647,5.21909,0.0,0,0,1,0,0,0,0
187842670,5.26421,0.0,0,0,1,0,0,0,0
188342627,5.28999,0.0,0,0,1,0,0,0,0
188842637,5.26099,0.0,0,0,1,0,0,0,0
189352693,5.27065,0.0,0,0,1,0,0,0,0
189852627,5.25454,0.0,0,0,1,0,0,0,0
190352628,5.2481,0.0,0,0,1,0,0,0,0
190852627,5.22554,0.0,0,0,1,0,0,0,0
191852627,5.2481,0.0,0,0,1,0,0,0,0
192352627,5.22876,0.0,0,0,1,0,0,0,0
192862626,5.24326,0.0,0,0,1,0,0,0,0
193362627,5.28193,0.0,0,0,1,0,0,0,0
193862627,5.24648,0.0,0,0,1,0,0,0,0
194362666,5.28838,0.0,0,0,1,0,0,0,0
194862628,5.29644,0.0,0,0,1,0,0,0,0
195362662,5.24971,0.0,0,0,1,0,0,0,0
195862667,5.23682,0.0,0,0,1,0,0,0,0
196372637,5.25132,0.0,0,0,1,0,0,0,0
196872627,5.23682,0.0,0,0,1,0,0,0,0
197372627,5.24004,0.0,0,0,1,0,0,0,0
197872657,5.25615,0.0,0,0,1,0,0,0,0
198372627,5.22876,0.0,0,0,1,0,0,0,0
198872668,5.21909,0.0,0,0,1,0,0,0,0
199372643,5.25132,0.0,0,0,1,0,0,0,0
199872627,5.27549,0.0,0,0,1,0,0,0,0
200382664,5.24971,0.0,0,0,1,0,0,0,0
200882627,5.27227,0.0,0,0,1,0,0,0,0
201382627,5.24971,0.0,0,0,1,0,0,0,0
201882670,5.25132,0.0,0,0,1,0,0,0,0
202382627,5.24971,0.0,0,0,1,0,0,0,0
202882653,5.24648,0.0,0,0,1,0,0,0,0
203382627,5.21587,0.0,0,0,1,0,0,0,0
203892628,5.21909,0.0,0,0,1,0,0,0,0
204392666,5.24971,0.0,0,0,1,0,0,0,0
204892667,5.23359,0.0,0,0,1,0,0,0,0
205392633,5.2481,0.0,0,0,1,0,0,0,0
205892627,5.29321,0.0,0,0,1,0,0,0,0
206392627,5.26582,0.0,0,0,1,0,0,0,0
206902627,5.21587,0.0,0,0,1,0,0,0,0
207402627,5.25293,0.0,0,0,1,0,0,0,0
207902629,5.22876,0.0,0,0,1,0,0,0,0
208402627,5.21909,0.0,0,0,1,0,0,0,0
208902627,5.25132,0.0,0,0,1,0,0,0,0
209402627,5.27549,0.0,0,0,1,0,0,0,0
209902627,5.21909,0.0,0,0,1,0,0,0,0
210402627,5.2626,0.0,0,0,1,0,0,0,0
210912662,5.24165,0.0,0,0,1,0,0,0,0
211412627,5.25132,0.0,0,0,1,0,0,0,0
211912627,5.25776,0.0,0,0,1,0,0,0,0
212412627,5.29644,0.0,0,0,1,0,0,0,0
212912660,5.25293,0.0,0,0,1,0,0,0,0
213412627,5.23521,0.0,0,0,1,0,0,0,0
213922666,5.25132,0.0,0,0,1,0,0,0,0
214422627,5.25776,0.0,0,0,1,0,0,0,0
214922640,5.24487,0.0,0,0,1,0,0,0,0
215422627,5.21909,0.0,0,0,1,0,0,0,0
215922660,5.23682,0.0,0,0,1,0,0,0,0
216422627,5.25454,0.0,0,0,1,0,0,0,0
216922627,5.28032,0.0,0,0,1,0,0,0,0
217432651,5.27065,0.0,0,0,1,0,0,0,0
217932675,5.2771,0.0,0,0,1,0,0,0,0
218432627,5.27388,0.0,0,0,1,0,0,0,0
218932627,5.25132,0.0,0,0,1,0,0,0,0
219432627,5.25454,0.0,0,0,1,0,0,0,0
219932666,5.22554,0.0,0,0,1,0,0,0,0
220432667,5.24648,0.0,0,0,1,0,0,0,0
220932627,5.25132,0.0,0,0,1,0,0,0,0
221432636,5.24971,0.0,0,0,1,0,0,0,0
221932627,5.2207,0.0,0,0,1,0,0,0,0
222432662,5.25776,0.0,0,0,1,0,0,0,0
222942635,5.24971,0.0,0,0,1,0,0,0,0
223442667,5.28516,0.0,0,0,1,0,0,0,0
223942627,5.26421,0.0,0,0,1,0,0,0,0
224442627,5.25454,0.0,0,0,1,0,0,0,0
224942627,5.25132,0.0,0,0,1,0,0,0,0
225442628,5.24971,0.0,0,0,1,0,0,0,0
225942627,5.24971,0.0,0,0,1,0,0,0,0
226452661,5.24971,0.0,0,0,1,0,0,0,0
226952627,5.24165,0.0,0,0,1,0,0,0,0
227452627,5.2481,0.0,0,0,1,0,0,0,0
227952645,5.23682,0.0,0,0,1,0,0,0,0
228452627,5.25615,0.0,0,0,1,0,0,0,0
228952627,5.28677,0.0,0,0,1,0,0,0,0
229462667,5.29321,0.0,0,0,1,0,0,0,0
229962627,5.2771,0.0,0,0,1,0,0,0,0
230462627,5.28032,0.0,0,0,1,0,0,0,0
230962641,5.24648,0.0,0,0,1,0,0,0,0
231462666,5.25132,0.0,0,0,1,0,0,0,0
231962627,5.24165,0.0,0,0,1,0,0,0,0
232462668,5.25132,0.0,0,0,1,0,0,0,0
234472627,5.2916,0.0,0,0,1,0,0,0,0
234972627,5.25776,0.0,0,0,1,0,0,0,0
235472650,5.28999,0.0,0,0,1,0,0,0,0
235972661,5.24326,0.0,0,0,1,0,0,0,0
236472653,5.2207,0.0,0,0,1,0,0,0,0
236982627,5.24971,0.0,0,0,1,0,0,0,0
237482627,5.2481,0.0,0,0,1,0,0,0,0
237982627,5.21748,0.0,0,0,1,0,0,0,0
238482627,5.2481,0.0,0,0,1,0,0,0,0
238982669,5.24648,0.0,0,0,1,0,0,0,0
239482627,5.24326,0.0,0,0,1,0,0,0,0
239982627,5.2481,0.0,0,0,1,0,0,0,0
240482627,5.24971,0.0,0,0,1,0,0,0,0
240992665,5.2481,0.0,0,0,1,0,0,0,0
241492652,5.25454,0.0,0,0,1,0,0,0,0
241992666,5.27871,0.0,0,0,1,0,0,0,0
242492627,5.27549,0.0,0,0,1,0,0,0,0
242992627,5.22393,0.0,0,0,1,0,0,0,0
243492627,5.25454,0.0,0,0,1,0,0,0,0
243992627,5.22876,0.0,0,0,1,0,0,0,0
244502649,5.21748,0.0,0,0,1,0,0,0,0
245002667,5.25293,0.0,0,0,1,0,0,0,0
245502669,5.2481,0.0,0,0,1,0,0,0,0
246002627,5.27549,0.0,0,0,1,0,0,0,0
246502645,5.29321,0.0,0,0,1,0,0,0,0
247002664,5.25293,0.0,0,0,1,0,0,0,0
247502627,5.28355,0.0,0,0,1,0,0,0,0
248012666,5.2481,0.0,0,0,1,0,0,0,0
248512628,5.24971,0.0,0,0,1,0,0,0,0
249012627,5.24165,0.0,0,0,1,0,0,0,0
249512627,5.25132,0.0,0,0,1,0,0,0,0
250012627,5.25454,0.0,0,0,1,0,0,0,0
250512627,5.24971,0.0,0,0,1,0,0,0,0
251022666,5.21909,0.0,0,0,1,0,0,0,0
251522660,5.28999,0.0,0,0,1,0,0,0,0
252022627,5.26904,0.0,0,0,1,0,0,0,0
252522637,5.21587,0.0,0,0,1,0,0,0,0
253022627,5.27871,0.0,0,0,1,0,0,0,0
253522627,5.23521,0.0,0,0,1,0,0,0,0
254022627,5.26904,0.0,0,0,1,0,0,0,0
254522667,5.22393,0.0,0,0,1,0,0,0,0
255022627,5.25454,0.0,0,0,1,0,0,0,0
255532627,5.25132,0.0,0,0,1,0,0,0,0
256032663,5.24487,0.0,0,0,1,0,0,0,0
256532677,5.24648,0.0,0,0,1,0,0,0,0
257032627,5.23359,0.0,0,0,1,0,0,0,0
257532661,5.27549,0.0,0,0,1,0,0,0,0
258032637,5.24971,0.0,0,0,1,0,0,0,0
258532627,5.24971,0.0,0,0,1,0,0,0,0
259042627,5.27871,0.0,0,0,1,0,0,0,0
259542628,5.24648,0.0,0,0,1,0,0,0,0
260042641,5.25293,0.0,0,0,1,0,0,0,0
260542667,5.21265,0.0,0,0,1,0,0,0,0
