timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
103055517,0.0,0.0,0.0,-0.2893328,-0.07348414,0.46665955,0.0,0.0,0.0,0.78043807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25860658,0.25859895,4.0529413,0.0,0.0,0.0,0.09010113,0.0,0.0,0.0,0.0,0.0,0.013247502,0.048073236,0.10721193,0.0,0.0,0.0,0.0,0.0,0.0
103259567,0.0,0.0,0.0,-0.23301357,-0.11165874,0.4080658,0.0,0.0,0.0,0.7804327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25862536,0.25861743,4.0531673,0.0,0.0,0.0,0.090099886,0.0,0.0,0.0,0.0,0.0,0.013259676,0.05266746,0.11771989,0.0,0.0,0.0,0.0,0.0,0.0
103459483,0.0,0.0,0.0,-0.15534563,-0.14607757,0.6117859,0.0,0.0,0.0,0.78042686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25858843,0.2585816,4.05326,0.0,0.0,0.0,0.090098545,0.0,0.0,0.0,0.0,0.0,0.01378867,0.060518816,0.12629794,0.0,0.0,0.0,0.0,0.0,0.0
103660320,0.0,0.0,0.0,-0.07105336,-0.16701552,0.14219666,0.0,0.0,0.0,0.7804218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25857183,0.25856832,4.0534444,0.0,0.0,0.0,0.09009737,0.0,0.0,0.0,0.0,0.0,0.01281624,0.07786221,0.15441161,0.0,0.0,0.0,0.0,0.0,0.0
103864296,0.0,0.0,0.0,0.0070542963,-0.1629999,0.22381592,0.0,0.0,0.0,0.7804169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25854516,0.25854638,4.053577,0.0,0.0,0.0,0.09009625,0.0,0.0,0.0,0.0,0.0,0.012154681,0.0880475,0.16902491,0.0,0.0,0.0,0.0,0.0,0.0
104069096,0.0,0.0,0.0,0.097301476,-0.16553804,0.13616943,0.0,0.0,0.0,0.7804118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25854027,0.25854772,4.053801,0.0,0.0,0.0,0.09009506,0.0,0.0,0.0,0.0,0.0,0.011738529,0.10535786,0.18582247,0.0,0.0,0.0,0.0,0.0,0.0
104269256,0.0,0.0,0.0,0.17392859,-0.18085818,0.3047943,0.0,0.0,0.0,0.7804063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2584982,0.2585113,4.0539174,0.0,0.0,0.0,0.090093784,0.0,0.0,0.0,0.0,0.0,0.011880625,0.12063723,0.20978425,0.0,0.0,0.0,0.0,0.0,0.0
104473241,0.0,0.0,0.0,0.22860008,-0.18842438,0.29031372,0.0,0.0,0.0,0.78040224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2585288,0.25854635,4.05426,0.0,0.0,0.0,0.09009285,0.0,0.0,0.0,0.0,0.0,0.011802031,0.13015436,0.22358617,0.0,0.0,0.0,0.0,0.0,0.0
104678007,0.0,0.0,0.0,0.253464,-0.17927179,0.07798767,0.0,0.0,0.0,0.78039795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25859502,0.2586143,4.0547943,0.0,0.0,0.0,0.09009186,0.0,0.0,0.0,0.0,0.0,0.011276803,0.1344438,0.2328659,0.0,0.0,0.0,0.0,0.0,0.0
104878038,0.0,0.0,0.0,0.26911926,-0.15402943,0.4352417,0.0,0.0,0.0,0.78039247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25855008,0.25856948,4.055073,0.0,0.0,0.0,0.090090595,0.0,0.0,0.0,0.0,0.0,0.0113263065,0.13163981,0.22530381,0.0,0.0,0.0,0.0,0.0,0.0
