timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
3846281,-0.005836067,0.016638277,-0.17396837,3956,0,-0.43077916,0.40365556,-9.775388,3956
3850285,-0.0036173854,0.016437735,-0.17387074,4004,0,-0.40098956,0.40944642,-9.826951,4004
3854281,-0.0050238087,0.012299566,-0.17724049,3996,0,-0.41442886,0.46254078,-9.831958,3996
3858281,-0.009722476,0.012591692,-0.18175794,4000,0,-0.45970967,0.5511339,-9.828662,4000
3862307,-0.023787351,0.0069548916,-0.20296375,4026,0,-0.63396615,1.0313374,-9.826231,4026
3866281,-0.0038186375,0.0089058485,-0.23036307,3974,0,-0.666464,1.0978792,-10.052475,3974
3870281,-0.009178651,-0.004193992,-0.26217943,4000,0,-0.70916903,1.0718985,-9.928392,4000
3874281,-0.017333182,-0.005984019,-0.2931257,4000,0,-0.8134071,1.1904924,-9.864178,4000
3878280,-0.01932951,-0.00886026,-0.32219788,3999,0,-0.7741642,1.1302128,-9.865402,3999
3882281,-0.017372094,-0.012514905,-0.35324612,4001,0,-0.8066218,1.2325507,-9.903356,4001
3886288,-0.011274314,-0.014173514,-0.3807734,4007,0,-0.8279564,1.1916897,-9.884779,4007
3890281,-0.011247601,-0.01626581,-0.41060066,3993,0,-0.8289041,1.1082541,-9.886173,3993
3894318,-0.0116873,-0.018529698,-0.43354747,4037,0,-0.8431479,1.0694817,-9.800834,4037
3898281,-0.01113252,-0.01763927,-0.4528024,3963,0,-0.8125815,0.9689198,-9.804279,3963
3902281,-0.014663688,-0.015598642,-0.4687011,4000,0,-0.7754098,0.9175131,-9.778149,4000
3906292,-0.0076131453,-0.006603873,-0.48071375,4011,0,-0.6689159,0.7914533,-9.736951,4011
3910309,-0.00015442673,-0.0011068339,-0.48885635,4017,0,-0.60845655,0.54358935,-9.714213,4017
3914298,0.0024030833,0.010737365,-0.47822416,3989,0,-0.5038329,0.2781504,-9.555929,3989
3918281,-0.015191848,0.009712108,-0.48320696,3983,0,-0.56328106,0.542701,-9.586333,3983
3922281,0.0043591843,0.028612256,-0.48167285,4000,0,-0.5442491,0.6015885,-9.814813,4000
3926287,0.014061276,0.02409636,-0.48661983,4006,0,-0.5245836,0.53978366,-9.8095045,4006
3930299,0.021970067,0.033025805,-0.4846405,4012,0,-0.53550386,0.44686,-9.770369,4012
3934314,0.01383411,0.027492462,-0.4839218,4015,0,-0.6021393,0.29727128,-9.718884,4015
3938294,0.017355,0.052228577,-0.48425448,3980,0,-0.45802617,0.6544546,-10.209781,3980
3942281,0.044895414,0.020694988,-0.49049184,3987,0,-0.26445442,0.33175015,-9.771603,3987
3946288,0.032696333,0.040878274,-0.4844811,4007,0,-0.671509,0.19645485,-9.950552,4007
3950298,0.04115915,0.043195862,-0.4720994,4010,0,0.12547326,0.24560787,-10.06644,4010
3954296,0.041380614,0.0045204163,-0.4636846,3998,0,-0.33644274,-0.10354292,-10.013613,3998
3958281,0.03477533,0.020823462,-0.43665084,3985,0,-0.046216324,-0.050058343,-9.84311,3985
3962280,0.022953788,0.0029655346,-0.42107138,3999,0,0.01727552,-0.2086674,-9.623471,3999
3966281,0.0032951727,0.005085853,-0.38784194,4001,0,0.10570016,-0.41230422,-9.758862,4001
3970308,-0.008571127,-0.004845837,-0.35978124,4027,0,0.2594578,-0.24215776,-9.669344,4027
3974281,-0.0070191696,-0.0035233132,-0.32682526,3973,0,0.17667516,-0.35189956,-9.721932,3973
3978318,-0.016209772,0.0008658802,-0.29727712,4037,0,0.28974625,-0.3235625,-9.764837,4037
3982281,-0.014793808,-0.0057754065,-0.26980937,3963,0,0.210616,-0.22351962,-9.871628,3963
3986281,-0.011048941,8.794522e-05,-0.24080448,4000,0,0.19579433,-0.20666645,-9.901664,4000
3990306,-0.009678521,-0.0043144454,-0.21470621,4025,0,0.1611252,-0.07915374,-9.990156,4025
3994281,0.00633571,-0.0055501745,-0.18892956,3975,0,0.106143996,-0.023855297,-10.062504,3975
3998329,0.014295761,-0.009120936,-0.16934454,4048,0,0.054494873,-0.00053955097,-10.005847,4048
4002281,0.015248662,-0.012333602,-0.15259372,3952,0,-0.0010086962,0.009700556,-9.813248,3952
4006281,0.006089736,-0.014752449,-0.13513656,4000,0,-0.17514656,0.05721173,-9.756877,4000
4010281,0.0015074493,-0.008111405,-0.122680515,4000,0,-0.13296536,0.22454906,-9.88192,4000
4014281,0.0037169075,-0.02376618,-0.12049337,4000,0,-0.20272061,0.22677562,-9.694086,4000
4018306,-0.007094621,-0.013689968,-0.115085,4025,0,-0.39869565,0.23604274,-9.581967,4025
