timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
94207067,0.24118689,0.4988229,0.3221197
94215875,0.25333482,0.4905213,0.3098454
94227104,0.24471687,0.4844975,0.3282964
94235875,0.24302813,0.5069873,0.3376926
94247117,0.23938872,0.49740952,0.31359947
94255875,0.2254831,0.5005107,0.32397887
94267067,0.24471948,0.49503568,0.3287237
94275878,0.25343987,0.49686065,0.32704964
94287074,0.24467814,0.4953101,0.32195595
94295876,0.24467814,0.4953101,0.32195595
94304668,0.22897437,0.49699786,0.32381508
94315106,0.2342009,0.49179742,0.3218775
94324668,0.24294372,0.5005107,0.3238722
94335094,0.2254831,0.5005107,0.32397887
94344705,0.22901484,0.4932107,0.3304404
94355067,0.24643148,0.4829469,0.3231387
94364674,0.23606195,0.4963118,0.3406918
94375900,0.24478234,0.49813685,0.33901775
94384683,0.24478234,0.49813685,0.33901775
94394285,0.24470228,0.5092239,0.32590955
94403875,0.256932,0.49686065,0.3270283
94413444,0.25350103,0.49293628,0.33705884
94423875,0.25866905,0.5021984,0.32553938
94433444,0.24647456,0.48969802,0.3301913
94443892,0.2535252,0.50685006,0.34101245
94453444,0.2622188,0.48422307,0.33495748
94463899,0.25347948,0.4895608,0.3335325
94474275,0.25347948,0.4895608,0.3335325
94483909,0.24645564,0.49686065,0.3270923
94492674,0.2360602,0.4892864,0.34040692
94503877,0.2377757,0.49124858,0.33539167
94512711,0.23424311,0.49503568,0.32878768
94523885,0.24643672,0.5040234,0.3239933
94532678,0.24298333,0.4932107,0.33035508
94543901,0.25699052,0.48239806,0.33661023
94552677,0.241161,0.47788364,0.31788123
94563105,0.241161,0.47788364,0.31788123
94571882,0.26575315,0.48746136,0.34184635
94581444,0.258644,0.4847719,0.32144332
94592667,0.24470142,0.50571114,0.32576713
94601444,0.26042238,0.48983523,0.32672212
94612667,0.25170112,0.4844975,0.32825375
94621453,0.24825206,0.49124858,0.33532768
94632667,0.23949207,0.49672344,0.33051884
94641444,0.24643672,0.5040234,0.3239933
94661445,0.24643672,0.5040234,0.3239933
94670284,0.2709229,0.50374895,0.33061174
94680709,0.25170374,0.49503568,0.32868102
94690286,0.25701642,0.50333726,0.34084868
94700673,0.25868884,0.49854848,0.3287808
94710267,0.24994777,0.49686065,0.32707098
94720688,0.24651678,0.49293628,0.33710152
94730267,0.2604835,0.48591083,0.3367313
94740668,0.2604835,0.48591083,0.3367313
94750268,0.2604835,0.48591083,0.3367313
94759900,0.24986422,0.49389678,0.31339306
94769444,0.2673257,0.49740952,0.31342885
94779920,0.27272108,0.50516224,0.33913195
94789443,0.25695267,0.49672344,0.3304122
94799068,0.25168568,0.50571114,0.32572448
94809443,0.26042238,0.48983523,0.32672212
94819067,0.25158146,0.50288445,0.30866265
94829443,0.26559216,0.50612277,0.3154875
94839901,0.26559216,0.50612277,0.3154875
94849444,0.256932,0.49686065,0.3270283
94858271,0.25689238,0.5041606,0.32054543
94869443,0.2515995,0.49220908,0.31161922
94878268,0.26205432,0.4888335,0.30802894
94889444,0.27084023,0.5042978,0.31707624
94898267,0.25866643,0.4916602,0.32511207
94909444,0.25507534,0.5099099,0.3089262
94918267,0.24984528,0.50105953,0.31029403
94927895,0.24984528,0.50105953,0.31029403
94937451,0.2585872,0.50626,0.3121463
94947068,0.2551554,0.4988229,0.3220344
94957443,0.25860703,0.50261,0.31538773
94967068,0.25513473,0.4989601,0.3186505
94977443,0.26218095,0.49854848,0.32875946
94987069,0.24986422,0.49389678,0.31339306
94998267,0.24994516,0.48632246,0.32664368
95007068,0.2551554,0.4988229,0.3220344
95026283,0.27259183,0.48490912,0.31797412
95035911,0.24298333,0.4932107,0.33035508
95046267,0.2692444,0.48394865,0.34168258
95055915,0.2447384,0.487873,0.33182272
95066267,0.2499667,0.48969802,0.33017
