timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
46409857,0.134763,0.0446684,-0.0234239,0.838287,-0.0417513,-0.0187037,-0.543307,0.931081,0.00216238,0.0119804,-0.364609,1
46441942,0.0135973,0.0548611,-0.0242267,0.837824,-0.0403132,-0.0186386,-0.54413,0.931081,0.00216238,0.0119804,-0.364609,1
46473914,0.0200178,0.0611228,0.00399336,0.837445,-0.0397225,-0.0177258,-0.544788,0.931081,0.00216238,0.0119804,-0.364609,1
46506009,0.0366621,-0.0118789,0.0574316,0.837515,-0.0389129,-0.0175822,-0.544744,0.931081,0.00216238,0.0119804,-0.364609,1
46537864,-0.00351778,-0.107714,0.0624949,0.837755,-0.0393965,-0.0184912,-0.544309,0.931081,0.00216238,0.0119804,-0.364609,1
46569948,-0.0123503,-0.142679,0.0475726,0.837922,-0.0406725,-0.0201058,-0.543901,0.931081,0.00216238,0.0119804,-0.364609,1
46602730,-0.0793518,-0.100122,0.0145727,0.837735,-0.0425896,-0.0212609,-0.543998,0.931081,0.00216238,0.0119804,-0.364609,1
46630735,-0.0240427,-0.0342663,0.0116724,0.837592,-0.0435571,-0.0215179,-0.544132,0.931081,0.00216238,0.0119804,-0.364609,1
46662748,-0.0612024,-0.0653128,-0.0876301,0.836832,-0.0448641,-0.0216657,-0.545188,0.931081,0.00216238,0.0119804,-0.364609,1
46694827,0.0820304,-0.0314736,-0.108761,0.835673,-0.0448574,-0.0223932,-0.546934,0.931081,0.00216238,0.0119804,-0.364609,1
46726662,0.0292544,-0.156381,-0.0302159,0.834851,-0.0448403,-0.0242527,-0.548111,0.931081,0.00216238,0.0119804,-0.364609,1
46758800,-0.0182714,-0.267826,-0.00125565,0.834397,-0.0467778,-0.0271153,-0.548506,0.931081,0.00216238,0.0119804,-0.364609,1
46791643,0.0369232,-0.305813,0.0462644,0.83412,-0.0493327,-0.031279,-0.548482,0.931081,0.00216238,0.0119804,-0.364609,1
46823490,-0.026075,-0.227825,0.079924,0.834319,-0.0514755,-0.0347858,-0.547771,0.931081,0.00216238,0.0119804,-0.364609,1
46851562,-0.0777668,-0.184765,0.0534147,0.834442,-0.0537788,-0.0365478,-0.547246,0.931081,0.00216238,0.0119804,-0.364609,1
46883487,0.0283756,-0.0928705,0.00194963,0.834285,-0.0554463,-0.0381107,-0.547212,0.931081,0.00216238,0.0119804,-0.364609,1
46915515,0.0735222,-0.0094139,-0.0463242,0.833816,-0.0546762,-0.0391857,-0.547928,0.931081,0.00216238,0.0119804,-0.364609,1
