timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
9512886,375.0112,21.39,96900.99,1.1513441
9534435,374.32156,21.39,96909.0,1.1514392
9545521,375.0984,21.39,96900.0,1.1513323
9555435,374.75226,21.39,96904.0,1.1513798
9577636,374.83682,21.4,96903.0,1.1513679
9588436,374.66507,21.4,96905.0,1.1513917
9599435,374.32156,21.4,96909.0,1.1514392
9622484,374.5805,21.4,96906.0,1.1514035
9633704,373.9754,21.4,96913.0,1.1514868
9644447,374.49332,21.4,96907.0,1.1514155
9666436,374.23434,21.4,96910.0,1.1514511
9676447,374.23434,21.4,96910.0,1.1514511
9687436,374.06262,21.4,96912.0,1.1514748
9708436,374.23434,21.41,96910.0,1.1514511
9718441,374.32156,21.41,96909.0,1.1514392
9729607,374.49332,21.41,96907.0,1.1514155
9750847,374.32156,21.41,96909.0,1.1514392
9762442,374.32156,21.41,96909.0,1.1514392
9774926,374.14716,21.41,96911.0,1.151463
9796435,374.23434,21.41,96910.0,1.1514511
9806691,374.06262,21.41,96912.0,1.1514748
9818381,374.06262,21.41,96912.0,1.1514748
9843910,374.40875,21.41,96907.99,1.1514273
9854643,374.14716,21.41,96911.0,1.151463
9864479,374.5805,21.41,96906.0,1.1514035
9887410,374.06262,21.41,96912.0,1.1514748
9898331,373.80365,21.41,96915.0,1.1515105
9908435,373.80365,21.41,96915.0,1.1515105
9931214,374.06262,21.41,96912.0,1.1514748
9941575,374.5805,21.41,96906.0,1.1514035
9952228,374.14716,21.41,96911.0,1.151463
9973495,374.5805,21.41,96906.0,1.1514035
9983487,374.40875,21.41,96907.99,1.1514273
9995212,374.40875,21.41,96907.99,1.1514273
10016451,374.06262,21.42,96912.0,1.1514748
10027245,374.06262,21.42,96912.0,1.1514748
10037484,374.06262,21.42,96912.0,1.1514748
10059214,374.32156,21.42,96909.0,1.1514392
10069571,373.9754,21.42,96913.0,1.1514868
10079491,373.9754,21.42,96913.0,1.1514868
