timestamp,lat,lon,alt,x,y,z,yaw,valid_alt,valid_hpos,manual_home
115366579,45.3829724858,-71.9274012435,234.307,-712.883,13.0236,-55.3568,-1.45647,1,1,0
115494899,45.3829639202,-71.9274005345,234.33,-713.836,13.079,-55.3804,-1.45732,1,1,0
115610007,45.3829558217,-71.9273998839,234.366,-714.736,13.1298,-55.4158,-1.45852,1,1,0
115738877,45.3829473235,-71.9273990485,234.402,-715.681,13.195,-55.4524,-1.45935,1,1,0
115871914,45.3829389259,-71.9273984795,234.453,-716.615,13.2395,-55.5033,-1.45933,1,1,0
116000692,45.3829309833,-71.9273978846,234.509,-717.498,13.2859,-55.5587,-1.45821,1,1,0
116140813,45.3829225906,-71.9273971061,234.564,-718.431,13.3467,-55.6146,-1.45834,1,1,0
116289883,45.3829140491,-71.927396567,234.625,-719.381,13.3888,-55.6747,-1.4564,1,1,0
116438653,45.3829058408,-71.927396169,234.684,-720.294,13.4199,-55.7341,-1.45545,1,1,0
116583505,45.3828981957,-71.9273957108,234.739,-721.144,13.4557,-55.789,-1.45535,1,1,0
116746738,45.3828899462,-71.9273952107,234.796,-722.061,13.4948,-55.8464,-1.45313,1,1,0
116926884,45.3828814805,-71.9273949909,234.871,-723.003,13.5119,-55.9208,-1.45328,1,1,0
117116194,45.3828733222,-71.9273949621,234.941,-723.91,13.5142,-55.9907,-1.45004,1,1,0
117314592,45.3828654465,-71.9273950727,235.025,-724.786,13.5055,-56.0752,-1.44787,1,1,0
117539631,45.3828574583,-71.9273954489,235.128,-725.674,13.4762,-56.1779,-1.44708,1,1,0
117779500,45.3828498582,-71.9273960783,235.245,-726.519,13.427,-56.2948,-1.44525,1,1,0
118061727,45.3828422269,-71.9273968626,235.382,-727.367,13.3658,-56.4318,-1.44527,1,1,0
119022802,45.3828272215,-71.9273990579,235.772,-729.036,13.1943,-56.8225,-1.44299,1,1,0
120940081,45.3828229511,-71.9274073621,236.339,-729.511,12.5458,-57.3895,-1.44334,1,1,0
122736762,45.3828222293,-71.9274178287,237.124,-729.591,11.7283,-58.1745,-1.43992,1,1,0
144541299,45.3817953334,-71.9298159579,239.784,-843.774,-175.568,-60.8338,-0.780042,1,1,0
144617910,45.3817915595,-71.9298259233,239.755,-844.194,-176.346,-60.8049,-0.781596,1,1,0
144698130,45.3817877587,-71.929836314,239.734,-844.617,-177.158,-60.7842,-0.782912,1,1,0
144777952,45.3817839914,-71.9298465715,239.714,-845.035,-177.959,-60.7644,-0.783016,1,1,0
144859556,45.3817801461,-71.9298567198,239.688,-845.463,-178.751,-60.7386,-0.782625,1,1,0
144943201,45.381776364,-71.9298673537,239.678,-845.883,-179.582,-60.7284,-0.781055,1,1,0
145027429,45.3817724002,-71.9298775813,239.659,-846.324,-180.381,-60.7095,-0.779424,1,1,0
145108914,45.3817687843,-71.9298876538,239.654,-846.726,-181.167,-60.7043,-0.777563,1,1,0
145188519,45.3817652267,-71.9298973766,239.642,-847.122,-181.927,-60.6924,-0.775902,1,1,0
145277695,45.3817613919,-71.9299080269,239.631,-847.548,-182.759,-60.6814,-0.774453,1,1,0
145357749,45.381758028,-71.9299177065,239.627,-847.922,-183.515,-60.6771,-0.773033,1,1,0
145447577,45.3817543199,-71.9299281361,239.615,-848.335,-184.329,-60.6647,-0.771422,1,1,0
145537785,45.3817506245,-71.929939253,239.614,-848.745,-185.197,-60.6638,-0.76992,1,1,0
145627589,45.3817470367,-71.9299495428,239.604,-849.144,-186.001,-60.6546,-0.768747,1,1,0
145718370,45.3817433895,-71.9299604262,239.6,-849.55,-186.851,-60.6503,-0.767395,1,1,0
145810500,45.3817397177,-71.92997105,239.584,-849.958,-187.681,-60.6345,-0.765066,1,1,0
145902841,45.381736182,-71.9299816725,239.574,-850.351,-188.51,-60.6247,-0.761464,1,1,0
145994844,45.3817326227,-71.9299922705,239.56,-850.747,-189.338,-60.6099,-0.757907,1,1,0
146091388,45.3817290211,-71.9300031783,239.549,-851.147,-190.19,-60.5988,-0.753533,1,1,0
146183590,45.381725554,-71.930013599,239.534,-851.533,-191.004,-60.5841,-0.750552,1,1,0
